Grid->dimx = 50 Grid->dimy = 50 Grid->cell = 0x7f96887bc010
X = 6 Y = 19 cell = 0x7f96887e1590
X = 6 Y = 20 cell = 0x7f96887e34d0
X = 6 Y = 21 cell = 0x7f96887e5410
X = 6 Y = 22 cell = 0x7f96887e7350
X = 6 Y = 23 cell = 0x7f96887e9290
X = 6 Y = 24 cell = 0x7f96887eb1d0
X = 6 Y = 25 cell = 0x7f96887ed110
X = 6 Y = 26 cell = 0x7f96887ef050
X = 6 Y = 27 cell = 0x7f96887f0f90
X = 6 Y = 28 cell = 0x7f96887f2ed0
X = 6 Y = 29 cell = 0x7f96887f4e10
X = 6 Y = 30 cell = 0x7f96887f6d50
X = 6 Y = 31 cell = 0x7f96887f8c90
X = 6 Y = 32 cell = 0x7f96887fabd0
X = 6 Y = 33 cell = 0x7f96887fcb10
X = 6 Y = 34 cell = 0x7f96887fea50
X = 6 Y = 35 cell = 0x7f9688800990
X = 6 Y = 36 cell = 0x7f96888028d0
X = 6 Y = 37 cell = 0x7f9688804810
X = 6 Y = 38 cell = 0x7f9688806750
X = 6 Y = 39 cell = 0x7f9688808690
X = 6 Y = 40 cell = 0x7f968880a5d0
X = 6 Y = 41 cell = 0x7f968880c510
X = 6 Y = 42 cell = 0x7f968880e450
X = 6 Y = 43 cell = 0x7f9688810390
X = 6 Y = 44 cell = 0x7f96888122d0
X = 6 Y = 45 cell = 0x7f9688814210
X = 6 Y = 46 cell = 0x7f9688816150
X = 6 Y = 47 cell = 0x7f9688818090
X = 6 Y = 48 cell = 0x7f9688819fd0
X = 6 Y = 49 cell = 0x7f968881bf10
X = 7 Y = 0 cell = 0x7f96887bc470
X = 7 Y = 1 cell = 0x7f96887be3b0
X = 7 Y = 2 cell = 0x7f96887c02f0
X = 7 Y = 3 cell = 0x7f96887c2230
X = 7 Y = 4 cell = 0x7f96887c4170
X = 7 Y = 5 cell = 0x7f96887c60b0
X = 7 Y = 6 cell = 0x7f96887c7ff0
X = 7 Y = 7 cell = 0x7f96887c9f30
X = 7 Y = 8 cell = 0x7f96887cbe70
